ID,Gender,Percent_SSC,Board_SSC,Percent_HSC,Board_HSC,Stream_HSC,Percent_Degree,Course_Degree,Experience_Yrs,Entrance_Test,S-TEST,Percentile_ET,S-TEST*SCORE,Percent_MBA,Specialization_MBA,Marks_Communication,Marks_Projectwork,Marks_BOCA
264,M,68.0,Others,50.0,Others,Commerce,50.0,Commerce,0,MAT,1,84.0,84.0,52.64,Marketing & HR,50,62,56
265,M,62.0,Others,88.0,Others,Commerce,52.0,Science,0,MAT,1,55.0,55.0,58.8,Marketing & HR,50,65,74
266,F,85.8,CBSE,85.0,CBSE,Science,88.8,Management,0,MAT,1,96.16,96.16,77.3,Marketing & HR,88,80,63
267,F,65.0,Others,68.0,Others,Commerce,55.0,Commerce,1,K-MAT,1,67.0,67.0,55.42,Marketing & Finance,56,75,52
268,M,66.3,Others,83.5,Others,Science,70.0,Science,0,CAT,1,65.0,65.0,60.95,Marketing & Finance,52,76,62
269,M,68.0,ICSE,77.0,ISC,Commerce,72.5,Management,0,MAT,1,43.12,43.12,57.23,Marketing & Finance,74,72,50
270,M,81.0,Others,76.0,Others,Science,64.0,Computer Applications,1,MAT,1,84.0,84.0,66.69,Marketing & Finance,66,69,58
271,M,61.0,ICSE,73.0,ISC,Commerce,68.0,Commerce,1,MAT,1,84.0,84.0,58.95,Marketing & HR,50,59,59
272,M,68.0,CBSE,59.0,Others,Commerce,75.0,Management,1,MAT,1,65.0,65.0,60.98,Marketing & HR,55,69,58
273,F,63.0,CBSE,58.0,CBSE,Commerce,69.0,Commerce,0,CAT,1,63.0,63.0,69.12,Marketing & Finance,57,77,78
274,M,57.0,ICSE,52.0,Others,Commerce,62.0,Management,0,MAT,1,62.0,62.0,60.59,Marketing & HR,52,71,73
275,M,48.0,Others,50.0,Others,Commerce,53.0,Management,1,MAT,1,47.41,47.41,64.63,Marketing & HR,69,75,51
276,F,68.0,Others,48.0,Others,Science,72.0,Computer Applications,0,,0,0.0,0.0,63.83,Marketing & HR,58,64,81
277,F,72.4,Others,55.5,CBSE,Science,82.0,Computer Applications,0,MAT,1,98.0,98.0,65.25,Marketing & Finance,67,75,76
278,M,47.0,Others,52.0,Others,Science,60.0,Management,0,K-MAT,1,58.0,58.0,63.39,Marketing & HR,62,64,57
279,F,60.0,CBSE,44.0,Others,Science,67.0,Management,0,,0,0.0,0.0,67.06,Marketing & HR,72,62,73
280,F,82.0,Others,68.16,Others,Commerce,71.0,Management,2,MAT,1,65.0,65.0,69.76,Marketing & HR,67,70,79
281,M,65.0,ICSE,71.0,ISC,Commerce,61.0,Commerce,0,MAT,1,83.0,83.0,62.28,Marketing & Finance,52,70,79
282,F,73.0,CBSE,65.0,CBSE,Science,74.0,Management,1,MAT,1,66.0,66.0,64.44,Marketing & Finance,62,77,96
283,M,56.0,Others,59.0,Others,Science,65.0,Science,2,MAT,1,60.0,60.0,60.64,Marketing & HR,54,62,74
284,M,49.3,Others,49.0,Others,Science,54.0,Commerce,0,K-MAT,1,64.0,64.0,56.45,Marketing & HR,58,66,69
285,M,70.0,Others,68.0,Others,Commerce,68.0,Commerce,0,,0,0.0,0.0,63.36,Marketing & Finance,66,70,65
286,M,67.2,Others,69.29,Others,Commerce,56.0,Computer Applications,0,G-SAT,1,0.0,0.0,61.0,Marketing & Finance,58,63,67
287,M,44.6,CBSE,60.58,Others,Science,68.11,Computer Applications,0,MAT,1,57.6,57.6,56.66,Marketing & Finance,54,63,62
288,M,52.0,Others,62.0,Others,Arts,66.0,Management,1,MAT,1,50.48,50.48,77.89,Marketing & Finance,82,80,68
289,M,81.2,CBSE,70.4,CBSE,Commerce,62.89,Commerce,0,MAT,1,61.6,61.6,62.48,Marketing & Finance,60,77,62
290,M,61.0,Others,53.0,Others,Commerce,65.0,Management,0,MAT,1,46.47,46.47,59.14,Marketing & HR,54,69,57
291,F,66.0,ICSE,80.0,ISC,Commerce,64.0,Management,0,,0,0.0,0.0,62.95,Marketing & Finance,65,71,54
292,M,63.0,Others,48.0,Others,Science,64.0,Computer Applications,0,MAT,1,73.0,73.0,68.07,Marketing & HR,66,70,75
293,M,53.0,Others,55.0,Others,Commerce,42.0,Commerce,0,,0,0.0,0.0,52.56,Marketing & Finance,50,73,50
294,F,87.0,ICSE,87.0,Others,Commerce,76.0,Management,1,,0,0.0,0.0,73.87,Marketing & Finance,77,74,69
295,M,59.0,Others,50.0,Others,Science,59.0,Management,0,MAT,1,89.69,89.69,57.1,Marketing & HR,55,63,59
296,M,64.6,CBSE,63.4,CBSE,Commerce,76.3,Commerce,1,MAT,1,60.0,60.0,63.7,Marketing & Finance,71,69,70
297,M,52.0,CBSE,57.0,CBSE,Commerce,47.0,Management,1,MAT,1,83.0,83.0,57.61,Marketing & Finance,50,74,74
298,M,86.4,Others,60.66,Others,Science,67.25,Computer Applications,0,MAT,1,72.0,72.0,63.23,Marketing & HR,63,69,69
299,M,44.0,Others,72.0,Others,Commerce,59.0,Management,0,MAT,1,41.0,41.0,58.75,Marketing & IB,50,58,57
300,F,80.32,Others,76.83,Others,Commerce,76.3,Management,0,MAT,1,47.31,47.31,71.15,Marketing & Finance,74,79,66
